rating,date,runtime,cluster,predicted_cluster
2.8,2022.0,83.0,2,1.9755514846112696
2.9,2018.0,125.0,2,1.984094298000775
3.04,2018.0,106.0,2,1.961969658675219
1.88,2018.0,118.0,2,2.1495186171310756
3.21,2023.0,111.0,2,1.9018340514919903
2.66,2022.0,115.0,2,1.9972979538307225
3.4,2023.0,114.0,2,1.8709703786009317
3.67,2018.0,97.0,2,1.860183396085839
2.96,2018.0,90.0,2,1.9753935842233137
3.11,2018.0,129.0,2,1.949961913747181
3.41,2019.0,118.0,2,1.8951969083952793
2.78,2020.0,82.0,2,1.9918015462259007
2.9,2021.0,127.0,2,1.9645640926063166
3.25,2020.0,96.0,2,1.9152631842838037
1.81,2019.0,72.0,2,2.155704757120791
3.29,2023.0,110.0,2,1.8889046560826461
3.17,2021.0,124.0,2,1.920916474346729
2.68,2018.0,93.0,2,2.0206610131600886
3.55,2021.0,94.0,2,1.860236368858443
3.68,2019.0,96.0,2,1.8521020002907687
3.56,2024.0,90.0,2,1.8392608928357657
3.0,2020.0,86.0,2,1.9560493512951194
1.37,2019.0,98.0,2,2.226220086704851
3.44,2020.0,180.0,2,1.8820432207316369
3.29,2018.0,125.0,2,1.9209216815904462
3.64,2020.0,110.0,2,1.8516833077592079
2.65,2019.0,150.0,2,2.0173716396003822
3.39,2018.0,60.0,2,1.9066144253490886
3.39,2018.0,101.0,2,1.9054217350144533
3.49,2020.0,79.0,2,1.8768822581700437
2.87,2018.0,95.0,2,1.9898264302771942
2.94,2022.0,84.0,2,1.9528450451224764
3.1,2021.0,84.0,2,1.9334187494135175
3.0,2022.0,82.0,2,1.943184361075673
3.25,2018.0,135.0,2,1.9271100242175816
3.68,2019.0,85.0,2,1.8524219903805488
3.14,2022.0,97.0,2,1.9200706614726162
3.22,2018.0,90.0,2,1.9332785066164266
3.5,2020.0,103.0,2,1.8745642872969714
2.42,2021.0,99.0,2,2.043129525339868
3.56,2023.0,101.0,2,1.8454315778720307
3.12,2019.0,103.0,2,1.9426077681561562
2.9,2018.0,111.0,2,1.984501558115042
3.46,2021.0,86.0,2,1.87504738501843
3.35,2020.0,131.0,2,1.8980469272262592
3.11,2022.0,97.0,2,1.9249300935041784
3.45,2020.0,137.0,2,1.8816742804054094
3.29,2021.0,150.0,2,1.9007224060082653
2.63,2023.0,153.0,2,1.9945612904260912
3.34,2019.0,112.0,2,1.906710123184567
3.57,2023.0,135.0,2,1.8428227069173406
3.27,2019.0,102.0,2,1.9183396980065002
2.77,2022.0,84.0,2,1.9803818266346713
2.78,2020.0,84.0,2,1.991743366209576
2.94,2020.0,83.0,2,1.9658554853827308
3.21,2018.0,76.0,2,1.9353055774078811
3.74,2022.0,135.0,2,1.8217766005311908
3.51,2022.0,480.0,0,1.8489961932906773
3.2,2022.0,117.0,2,1.9097699972462507
3.47,2019.0,92.0,2,1.8862343845443608
3.2,2019.0,98.0,2,1.9297947327794631
3.27,2018.0,139.0,2,1.9237540428305575
3.71,2021.0,158.0,2,1.8324576375010793
2.73,2018.0,91.0,2,2.0126201397904726
2.91,2018.0,158.0,2,1.9815145170542472
2.99,2019.0,130.0,2,1.9628798767392315
2.76,2018.0,135.0,2,2.006480747399788
3.77,2023.0,122.0,2,1.8108046634796864
2.78,2023.0,105.0,2,1.9716604506600408
3.52,2023.0,120.0,2,1.851358110425707
3.45,2022.0,116.0,2,1.8693038203247152
3.04,2019.0,88.0,2,1.9560026036960867
3.43,2020.0,114.0,2,1.8855829719475068
2.85,2018.0,90.0,2,1.9932115016723806
3.17,2022.0,96.0,2,1.9152403194492145
3.01,2022.0,108.0,2,1.9408082101862778
